wowheadZoneId;nom;decision;monde;continent;region;parent;typeGeographique;profondeur;extension;typeInstance;statutRevue;methodeRevue;chemin;note;wowheadUrl
6941;A’shran;Conservée;Draenor;Draenor;A’shran;continent:draenor;region;1;Warlords of Draenor;PvP;pending;awaiting_manual_review;Draenor > Draenor > A’shran;;https://www.wowhead.com/fr/zone=6941
7078;Chutelune;Conservée;Draenor;Draenor;Vallée d’Ombrelune;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Chutelune;;https://www.wowhead.com/fr/zone=7078
6720;Crête de Givrefeu;Conservée;Draenor;Draenor;Crête de Givrefeu;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Crête de Givrefeu;;https://www.wowhead.com/fr/zone=6720
7083;Défense de Karabor;Conservée;Draenor;Draenor;Vallée d’Ombrelune;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Défense de Karabor;;https://www.wowhead.com/fr/zone=7083
6756;Faralohn;Supprimée;Draenor;Draenor;Faralohn;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Faralohn;;https://www.wowhead.com/fr/zone=6756
6722;Flèches d’Arak;Conservée;Draenor;Draenor;Flèches d’Arak;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Flèches d’Arak;;https://www.wowhead.com/fr/zone=6722
6721;Gorgrond;Conservée;Draenor;Draenor;Gorgrond;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Gorgrond;;https://www.wowhead.com/fr/zone=6721
6723;Jungle de Tanaan;Conservée;Draenor;Draenor;Jungle de Tanaan;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Jungle de Tanaan;;https://www.wowhead.com/fr/zone=6723
7004;Mur-de-Givre;Conservée;Draenor;Draenor;Crête de Givrefeu;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Mur-de-Givre;;https://www.wowhead.com/fr/zone=7004
6755;Nagrand;Conservée;Draenor;Draenor;Nagrand;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Nagrand;;https://www.wowhead.com/fr/zone=6755
6980;Shattrath;Conservée;Draenor;Draenor;Talador;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Shattrath;;https://www.wowhead.com/fr/zone=6980
6662;Talador;Conservée;Draenor;Draenor;Talador;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Talador;;https://www.wowhead.com/fr/zone=6662
6719;Vallée d’Ombrelune;Conservée;Draenor;Draenor;Vallée d’Ombrelune;continent:draenor;region;1;Warlords of Draenor;Zone;pending;awaiting_manual_review;Draenor > Draenor > Vallée d’Ombrelune;;https://www.wowhead.com/fr/zone=6719
